Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
21,80000,16000,8000,8000,4600,320,1600,800,160,3200,1600,2400
22,-82000,16400,,8200,,330,,820,,3280,1640,
23,,16800,-8400,,4800,,1680,,168,,,2520
24,86000,,8800,-8800,4200,-280,1520,760,152,3040,1520,2240
25,88000,-17600,9000,9000,4400,290,1600,780,160,3200,1600,2400
26,90000,18000,10000,10000,-5000,350,-1800,900,180,3600,1800,2800
27,,18400,,10200,,,1840,,,,,
28,-94000,,10800,,5200,370,,960,192,3840,1920,2880
29,96000,19200,-11200,11200,5400,-380,1920,980,196,3920,1960,3040
30,98000,19600,11600,-11600,-5600,390,1960,-1000,-200,-4000,-2000,-3120
