Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
1,76422,12274,6940,2647,4597,178,3096,827,1207,2330,2551,4815
2,35795,17513,9374,7038,4574,388,2682,246,1448,1160,1492,3666
3,20860,5824,4257,6164,2037,252,3460,433,1398,2425,2864,948
4,58158,7265,3138,6520,3825,376,5529,1116,2088,4661,1634,473
5,74343,5936,5808,4687,4723,378,6121,1291,1507,1277,1857,567
6,64732,15992,6741,1596,2829,156,2975,614,1003,4391,2374,3432
7,31284,15745,9418,5545,1363,285,4216,942,2307,2556,1262,4023
8,74886,11402,8362,9676,3166,497,5515,962,2488,3944,1504,2258
9,26265,19199,4454,9837,4309,192,6692,623,925,1496,2666,3144
10,36850,8845,3466,5757,1545,375,5939,320,855,4434,849,4310
11,57194,6796,5674,5384,4240,257,6563,1946,83,2395,1186,4995
12,41962,13245,3377,9912,3569,374,3963,1839,2093,2915,1041,1982
13,67191,12214,9031,5733,1633,280,5529,855,2487,1654,860,1096
14,64131,5726,8701,8081,2936,458,7786,61,1542,4107,2877,3570
15,36023,7736,4597,9690,2680,176,7200,299,985,1302,2766,3390
16,61090,18832,2141,8117,1962,250,1976,402,1868,1437,2755,2672
17,21685,16362,4659,5729,4005,337,8345,954,135,3773,2193,3646
18,20769,18331,6596,2673,4806,388,1045,1671,1206,4103,584,2419
19,79735,6913,2839,9306,1882,330,2193,1590,1732,1185,1184,4279
20,76101,19064,8845,8178,4840,117,5512,1643,1195,4245,744,3348
21,22433,14788,5618,3294,3827,172,5943,1326,908,2589,1858,673
22,25311,15106,7778,4630,1870,288,7282,1793,2908,1672,1095,2802
23,57819,12657,7661,1146,1515,116,1246,252,2835,2273,1656,2369
24,59188,7466,8142,4453,3985,118,4219,1757,589,2000,2323,4530
25,37568,15929,5917,5507,2420,318,9983,477,1951,4834,2297,1066
26,73707,14041,7626,6783,1865,425,1636,1392,955,3326,849,687
27,39769,15301,2595,8751,3153,219,4775,1702,2737,1682,2829,4983
28,48693,12312,3904,6628,2108,200,3421,1964,2586,2718,2840,68
29,26396,19551,2280,9328,1213,133,5183,159,1143,4073,1792,2103
30,47480,13194,2423,4360,4192,183,1712,960,1331,4265,2384,419
31,61434,17447,8999,4005,4203,295,6845,1189,2755,4237,2060,3998
32,45658,12906,6365,4552,3897,429,6323,204,1553,4830,1483,2597
33,38942,17261,6249,1018,3244,301,7032,1290,2342,4058,2567,4338
34,77001,9876,8757,3242,1018,443,4644,1161,1806,1924,2363,2124
35,38431,12287,3750,7318,1641,440,8773,1391,2100,4827,2479,3892
36,22747,5892,6757,6097,4083,110,3108,1466,805,4181,2236,439
37,78319,15222,3967,9640,2104,446,4614,857,1455,3427,2952,1286
38,79150,16352,6088,2948,1329,499,7957,759,51,3882,1638,1208
39,20189,15568,6178,6618,1865,317,6279,1590,2775,1998,2418,1078
