Employee_ID,Basic_Salary,HRA,Other_Allowances,Income_Tax,Employee_Provident_Fund,Professional_Tax,Bonuses,Overtime,Deductions,Medical_Allowance,Travel_Allowance,Leave_Encashment
1861,57198,12167,4556,2738,3116,349,8540,1787,1238,1366,2511,2127
354,71407,19056,9064,5134,1306,105,7684,739,2942,3234,2763,169
1334,50523,15408,4038,5658,1258,495,1023,1792,806,3614,786,62
906,66427,7349,7355,7337,4686,345,2285,1294,2808,2089,2294,2577
1290,36644,11420,4003,3999,1959,203,7319,479,2225,1282,2436,3190
1274,59001,15340,2979,9022,3624,167,7351,8,2686,3809,2830,1624
939,30136,16015,9170,3537,4783,398,5692,26,2421,1197,1574,4573
1732,28646,14879,9619,8607,1250,425,9348,28,1129,3209,1960,2456
66,75387,10370,4723,4904,3300,202,8833,580,2245,1720,830,4624
1324,71712,7376,2660,5683,1977,204,8098,1912,2219,4447,1415,4428
